,app_number,patent_number,blocked_app,date,blocking_type
3482,"11/391,042",7265724,13590807,2012-11-07,103a
3483,"11/391,042",7265724,13290695,2013-03-07,103a
3484,"11/391,042",7265724,13590807,2013-03-07,103a
3485,"11/391,042",7265724,13290695,2014-09-26,103a
3486,"09/928,607",6584825,11644999,2011-06-10,103a
3487,"09/928,607",6584825,11644999,2011-11-01,103a
3488,"09/928,607",6584825,11644999,2011-11-01,103a
3489,"08/773,798",5901346,12561890,2011-10-27,102b
3490,"09/710,290",6640184,12187816,2011-03-28,102b
3491,"09/710,290",6640184,12165224,2011-01-04,119a
3492,"09/710,290",6640184,12587716,2011-12-21,103a
3493,"08/957,196",5982363,11490421,2011-06-20,103a
3494,"12/331,177",8255151,13438470,2012-10-22,119
3495,"12/331,177",8255151,13658463,2014-06-27,102a
3496,"09/183,459",6127058,11702087,2011-05-27,103a
3497,"09/183,459",6127058,11649390,2011-03-25,103a
3498,"09/183,459",6127058,11649390,2011-03-25,103a
3499,"09/183,459",6127058,11933997,2011-11-21,102b
3500,"09/183,459",6127058,11933997,2011-11-21,103a
3501,"09/183,459",6127058,11933997,2011-11-21,103a
3502,"09/183,459",6127058,11933997,2011-11-21,103a
3503,"09/183,459",6127058,10539243,2011-02-11,103a
3504,"09/183,459",6127058,11934021,2011-09-22,102b
3505,"09/183,459",6127058,12238241,2011-11-25,102b
3506,"09/183,459",6127058,13293666,2013-05-02,102b
3507,"09/183,459",6127058,13293666,2013-05-02,103a
3508,"09/183,459",6127058,12238040,2013-11-12,103a
3509,"09/183,459",6127058,12238040,2013-11-12,103a
3510,"09/183,459",6127058,12238040,2013-11-12,103a
3511,"09/183,459",6127058,12238040,2013-11-12,103a
3512,"09/183,459",6127058,12238040,2013-11-12,103a
3513,"09/183,459",6127058,12238040,2013-11-12,103a
3514,"09/183,459",6127058,13293666,2013-10-30,103a
3515,"10/285,258",6992658,12819936,2012-07-10,102b
3516,"10/285,258",6992658,12819936,2012-07-10,103a
3517,"10/285,258",6992658,12819936,2012-07-10,103a
3518,"08/654,901",5894320,09179872,2011-07-21,103
3519,"08/654,901",5894320,11932449,2011-04-06,119a
