,app_number,patent_number,blocked_app,date,blocking_type
0,"09/847,143",7046910,10578151,2011-08-09,102e
1,"09/847,143",7046910,10578151,2011-08-09,103a
2,"09/855,385",7190956,12866025,2014-12-19,103a
3,"09/855,385",7190956,12866025,2014-04-30,103a
4,"08/665,178",5794185,13008925,2011-11-01,103a
5,"08/665,178",5794185,12035715,2011-08-15,103a
6,"12/534,213",8229428,13547133,2012-10-12,119
7,"11/286,497",7555696,11621919,2011-05-24,103a
8,"10/692,622",7373181,12336526,2011-04-05,103a
9,"10/692,622",7373181,13647868,2013-08-15,119
10,"10/952,362",7414990,11955055,2011-06-21,103a
11,"08/589,842",5862451,12470623,2011-10-25,103a
12,"08/589,842",5862451,12470623,2011-10-25,103a
13,"08/589,842",5862451,12470623,2011-10-25,103a
14,"08/589,842",5862451,12470623,2011-10-25,103a
15,"08/625,116",5812527,12436517,2011-05-03,102b
16,"10/413,060",7263365,11842543,2011-05-19,103
17,"09/648,955",6466804,13252096,2011-12-23,103a
18,"09/648,955",6466804,10476522,2011-05-05,103a
19,"09/648,955",6466804,12933760,2012-04-11,103a
20,"09/648,955",6466804,12990205,2013-10-09,103a
21,"11/558,243",7729357,11786969,2012-06-07,103a
22,"10/261,260",7876837,12356184,2011-06-28,103a
23,"10/261,260",7876837,12356184,2011-06-28,103a
24,"10/261,260",7876837,12356184,2011-06-28,103a
25,"10/261,260",7876837,12356184,2011-06-28,103a
26,"10/261,260",7876837,12356184,2011-06-28,103a
27,"10/261,260",7876837,12356184,2011-06-28,103a
28,"10/261,260",7876837,12027794,2012-03-15,103a
29,"08/720,984",5910951,11147396,2011-06-08,103a
30,"08/720,984",5910951,11147396,2011-06-08,103a
31,"08/720,984",5910951,11147396,2011-06-08,103a
32,"08/720,984",5910951,11147396,2011-06-08,103a
33,"08/720,984",5910951,11147396,2011-06-08,103a
34,"08/720,984",5910951,11147396,2011-06-08,103a
35,"08/720,984",5910951,11147396,2011-06-08,103a
36,"08/720,984",5910951,11147396,2011-06-08,103a
37,"08/720,984",5910951,11147396,2011-06-08,103a
38,"08/720,984",5910951,11147396,2011-06-08,103a
39,"08/720,984",5910951,11147396,2011-06-08,103a
40,"08/720,984",5910951,11147396,2011-06-08,103a
41,"08/720,984",5910951,11147396,2011-06-08,103a
42,"08/720,984",5910951,11147396,2011-06-08,103a
43,"08/720,984",5910951,11147396,2011-06-08,103a
44,"08/720,984",5910951,11945840,2011-07-21,103a
45,"08/720,984",5910951,11945840,2011-07-21,103a
46,"08/720,984",5910951,11945840,2012-02-02,103a
47,"08/720,984",5910951,11945840,2012-02-02,103a
48,"08/946,210",5946346,12475966,2012-01-04,103a
49,"09/678,056",6970926,11696428,2011-11-02,103
50,"09/678,056",6970926,11696428,2011-02-18,103a
51,"09/678,056",6970926,11696428,2012-05-11,103a
52,"10/003,153",6836676,13523413,2012-08-03,103a
53,"08/554,990",5781226,11400371,2012-09-20,103a
54,"08/554,990",5781226,12711092,2012-07-31,103a
55,"08/736,383",5886736,12311929,2011-10-27,103a
56,"08/736,383",5886736,12759554,2012-07-30,102b
57,"08/736,383",5886736,12759554,2012-07-30,103a
58,"08/736,383",5886736,12759554,2012-07-30,103a
59,"08/736,383",5886736,12759554,2012-07-30,103a
60,"08/736,383",5886736,12759554,2012-07-30,103a
61,"08/736,383",5886736,12759554,2012-07-30,103a
62,"08/736,383",5886736,12747442,2012-08-17,103a
63,"08/736,383",5886736,12747442,2012-08-17,103a
64,"08/736,383",5886736,12747442,2012-04-19,102b
65,"08/736,383",5886736,12747442,2012-04-19,103a
66,"08/736,383",5886736,12747442,2012-04-19,103a
67,"08/736,383",5886736,12759554,2013-03-29,103a
68,"08/736,383",5886736,12759554,2013-03-29,103a
69,"08/736,383",5886736,12759554,2013-03-29,103a
70,"08/736,383",5886736,12759554,2013-03-29,103a
71,"08/736,383",5886736,12759554,2013-03-29,103a
72,"08/736,383",5886736,12759554,2013-03-29,103a
73,"09/967,239",6563427,11331338,2011-10-17,103a
74,"09/967,239",6563427,11331338,2011-04-13,103
75,"11/838,517",8140102,12338573,2012-10-22,103a
76,"10/284,927",6925128,12905809,2011-03-09,103a
77,"10/284,927",6925128,12905809,2011-08-23,103
78,"10/284,927",6925128,13351738,2012-11-29,103a
79,"10/284,927",6925128,13351738,2012-06-20,103
80,"09/032,815",6063521,13011752,2012-08-02,103a
81,"09/032,815",6063521,13011752,2013-05-02,103a
82,"08/829,271",5848357,11540286,2011-01-07,103a
83,"08/829,271",5848357,11540286,2011-08-03,103a
84,"08/829,271",5848357,12495207,2011-11-25,103a
85,"09/753,833",6421602,12847659,2012-09-04,103a
86,"09/753,833",6421602,12847659,2012-04-24,103a
87,"09/218,324",6366302,11550053,2011-09-07,103a
88,"09/218,324",6366302,11550053,2011-09-07,103a
89,"09/218,324",6366302,11550053,2011-09-07,103a
90,"09/218,324",6366302,12692498,2012-06-27,103a
91,"12/210,359",8037011,12466880,2012-04-13,103a
92,"11/648,249",7983426,12352323,2011-08-08,103a
93,"10/610,500",7266101,12646718,2011-10-06,103a
94,"11/970,981",7729366,11985512,2011-05-10,103a
95,"11/970,981",7729366,11985512,2011-05-10,103a
96,"11/970,981",7729366,11985512,2011-05-10,103a
97,"11/970,981",7729366,11985512,2011-05-10,103a
98,"11/970,981",7729366,11985512,2011-05-10,103a
99,"09/602,512",6857132,10498466,2011-04-15,103a
100,"09/602,512",6857132,11137606,2011-03-14,103a
101,"09/602,512",6857132,11137606,2011-03-14,103a
102,"09/602,512",6857132,11137606,2011-03-14,103a
103,"09/602,512",6857132,11137606,2011-03-14,103a
104,"09/602,512",6857132,11137606,2011-03-14,103a
105,"10/796,326",7257421,13160622,2011-12-09,103a
106,"10/796,326",7257421,13160622,2012-04-12,103a
107,"10/022,944",6597915,11176512,2011-08-11,103a
108,"10/022,944",6597915,11176512,2011-01-20,103a
109,"10/022,944",6597915,11176512,2012-02-29,103a
110,"08/735,295",5922047,11636998,2011-04-27,103a
111,"08/735,295",5922047,11636998,2011-10-25,103a
112,"10/074,114",6965763,11498011,2011-04-04,102e
113,"10/074,114",6965763,11498011,2011-04-04,103a
114,"10/074,114",6965763,11498011,2011-04-04,103a
115,"10/074,114",6965763,11498011,2011-04-04,103a
116,"10/074,114",6965763,11498011,2011-09-15,102e
117,"10/074,114",6965763,11498011,2011-09-15,103a
118,"10/074,114",6965763,11498011,2011-09-15,103a
119,"10/074,114",6965763,11498011,2011-09-15,103a
120,"10/074,114",6965763,11498011,2011-09-15,103a
121,"10/074,114",6965763,12600055,2012-03-15,102b
122,"10/074,114",6965763,11498011,2012-02-28,102e
123,"10/074,114",6965763,11498011,2012-02-28,103a
124,"10/074,114",6965763,11498011,2012-02-28,103a
125,"10/074,114",6965763,11498011,2012-02-28,103a
126,"10/074,114",6965763,11498011,2012-02-28,103a
127,"10/074,114",6965763,12600055,2012-10-17,102b
128,"11/616,357",7769370,12466111,2011-11-09,102
129,"11/616,357",7769370,12466111,2011-11-09,103a
130,"11/616,357",7769370,12466111,2011-11-09,103a
131,"11/616,357",7769370,12466111,2011-11-09,103a
132,"11/616,357",7769370,12466111,2011-11-09,103a
133,"08/701,294",5812956,11985764,2011-03-21,103a
134,"09/716,682",6948183,11959026,2011-12-22,103a
135,"09/716,682",6948183,11959026,2011-05-18,103a
136,"09/716,682",6948183,11959026,2011-05-18,103a
137,"09/716,682",6948183,11959026,2011-05-18,103a
138,"09/716,682",6948183,11959026,2011-05-18,103a
139,"09/716,682",6948183,11959026,2011-05-18,103a
140,"09/716,682",6948183,12824917,2012-06-08,103a
141,"09/716,682",6948183,12824917,2012-06-08,103a
142,"09/716,682",6948183,12824917,2012-11-30,103a
143,"09/716,682",6948183,12824917,2012-11-30,103a
144,"09/050,632",5956641,11844332,2011-01-21,103a
145,"09/050,632",5956641,11588187,2011-03-01,103a
146,"09/050,632",5956641,11588187,2011-08-05,103a
147,"09/050,632",5956641,12684393,2012-04-02,103a
148,"11/856,283",7667371,12715278,2012-05-08,103a
149,"11/856,283",7667371,12715278,2012-10-19,103a
150,"11/209,309",7139328,12383143,2011-11-18,103a
151,"11/209,309",7139328,11777671,2011-12-21,103a
152,"11/209,309",7139328,11382346,2011-11-08,103a
153,"11/209,309",7139328,11382346,2011-05-25,103
154,"11/209,309",7139328,11777671,2011-08-15,103a
155,"11/209,309",7139328,11777671,2011-02-04,103a
156,"11/209,309",7139328,12581218,2012-01-20,102e
157,"11/209,309",7139328,13132896,2013-03-26,103a
158,"09/439,026",6345307,12352997,2011-02-14,103a
159,"11/421,837",7676250,11948232,2011-07-20,103a
160,"11/421,837",7676250,11948232,2011-12-30,103a
161,"11/421,837",7676250,11948232,2012-01-20,103a
162,"09/671,949",7103782,11957721,2011-08-15,112
163,"09/165,487",6269336,11765900,2011-04-28,103a
164,"09/165,487",6269336,11765900,2011-04-28,103a
165,"09/165,487",6269336,11765900,2011-04-28,103a
166,"09/165,487",6269336,11765900,2011-04-28,103a
167,"09/165,487",6269336,11893676,2011-01-06,103a
168,"09/165,487",6269336,10404093,2011-05-06,103a
169,"09/165,487",6269336,11268422,2011-03-09,103a
170,"09/165,487",6269336,11952713,2011-09-21,103a
171,"09/165,487",6269336,10404093,2011-10-18,103a
172,"09/165,487",6269336,10404093,2011-10-18,103a
173,"09/165,487",6269336,10404093,2011-10-18,103a
174,"09/165,487",6269336,11952713,2012-01-25,103a
175,"09/165,487",6269336,13467673,2012-07-06,103a
176,"11/937,699",7853475,12387096,2011-11-25,103a
177,"11/937,699",7853475,12387096,2011-06-07,103a
178,"11/680,116",7873893,12191939,2011-10-12,112
179,"11/680,116",7873893,12705460,2012-09-17,103a
180,"08/791,124",5857173,11999839,2011-05-13,103a
181,"08/791,124",5857173,11999839,2011-11-08,103a
182,"09/562,396",6304763,12391932,2011-06-07,102b
183,"08/760,021",5832026,12855483,2012-03-21,103a
184,"08/934,362",6078571,12567298,2011-10-11,102b
185,"08/934,362",6078571,12396448,2012-09-25,103a
186,"10/933,011",7551738,13043658,2013-04-25,102e
187,"09/359,586",6349216,11973951,2011-01-24,102b
188,"09/359,586",6349216,11973951,2011-07-20,102b
189,"09/359,586",6349216,13558248,2012-12-21,102b
190,"09/359,586",6349216,13325895,2012-09-28,119
191,"09/973,510",6965754,12486664,2012-08-07,102b
192,"09/973,510",6965754,12471046,2012-11-23,103a
193,"09/973,510",6965754,12471046,2012-11-23,103a
194,"09/973,510",6965754,12471046,2012-11-23,103a
195,"09/973,510",6965754,12471046,2012-11-23,103a
196,"09/973,510",6965754,12471046,2012-11-23,103a
197,"09/973,510",6965754,12471046,2012-11-23,103a
198,"09/973,510",6965754,13933076,2014-09-16,102b
199,"09/507,639",6493198,11720225,2011-05-06,103a
200,"09/507,639",6493198,11720225,2011-01-07,103a
201,"09/507,639",6493198,12303465,2011-09-21,103a
202,"09/507,639",6493198,11720225,2011-09-23,103a
203,"09/078,458",6157545,13079426,2011-07-06,103a
204,"10/403,711",6936361,12498742,2012-02-15,102
205,"11/872,179",7764644,12100339,2011-12-15,102e
206,"10/660,937",7519042,11093323,2011-06-09,103a
207,"10/660,937",7519042,11093323,2011-09-15,103a
208,"10/660,937",7519042,11093323,2011-02-16,103a
209,"10/660,937",7519042,11093323,2012-04-10,103a
210,"09/392,162",6319631,12685463,2011-06-01,103a
211,"09/649,699",6525677,12186605,2011-02-10,103a
212,"09/649,699",6525677,12186605,2011-02-10,103a
213,"09/665,095",6829475,11929744,2011-06-22,103a
214,"09/001,248",6175588,12162818,2011-10-27,103a
215,"09/001,248",6175588,12162818,2011-10-27,103a
216,"09/001,248",6175588,12162818,2011-06-22,103a
217,"09/001,248",6175588,12162818,2011-06-22,103a
218,"09/001,248",6175588,12350279,2011-06-08,102e
219,"09/001,248",6175588,11856678,2011-03-31,103a
220,"09/001,248",6175588,11856678,2011-03-31,103a
221,"09/001,248",6175588,11856678,2011-03-31,103a
222,"09/001,248",6175588,11856678,2011-03-31,103a
223,"09/001,248",6175588,11962040,2011-04-29,103a
224,"09/001,248",6175588,11962040,2011-04-29,103a
225,"09/001,248",6175588,11962040,2011-04-29,103a
226,"09/001,248",6175588,11962040,2011-04-29,103a
227,"09/001,248",6175588,11848664,2012-04-12,103a
228,"09/001,248",6175588,11848664,2012-10-03,103a
229,"09/001,248",6175588,12162818,2012-03-07,103a
230,"09/001,248",6175588,12162818,2012-03-07,103a
231,"09/001,248",6175588,12955722,2012-09-12,103a
232,"09/001,248",6175588,11640994,2012-08-02,103a
233,"09/001,248",6175588,11640994,2012-11-06,103a
234,"09/001,248",6175588,11848664,2013-08-13,103a
235,"08/580,916",6018671,12081141,2011-11-08,103a
236,"08/580,916",6018671,11558155,2011-01-10,102b
237,"08/580,916",6018671,12081141,2011-05-10,103a
238,"08/781,252",5805095,11819939,2011-01-20,103a
239,"09/759,846",6987738,13302525,2012-02-08,102e
240,"09/667,028",6697637,12678885,2012-03-23,103a
241,"08/566,617",5732387,12044713,2011-03-17,103a
242,"08/566,617",5732387,12044713,2011-03-17,103a
243,"08/566,617",5732387,12044713,2011-03-17,103a
244,"08/566,617",5732387,12044713,2011-03-17,103a
245,"08/566,617",5732387,12044713,2011-03-17,103a
246,"08/566,617",5732387,12044713,2011-03-17,103a
247,"08/566,617",5732387,12044713,2011-03-17,103a
248,"09/703,046",6662010,13042824,2011-08-23,103a
249,"09/703,046",6662010,13042824,2011-08-23,103a
250,"10/235,895",6757337,12043348,2011-10-18,103a
251,"10/235,895",6757337,12043348,2011-10-18,103a
252,"10/744,721",7373013,11863393,2011-02-03,112
253,"10/159,994",6944455,11750045,2011-10-26,103
254,"10/159,994",6944455,11750045,2011-04-29,103a
255,"09/993,108",6756938,12034012,2011-04-06,102b
256,"09/993,108",6756938,12034012,2012-06-01,103a
257,"09/993,108",6756938,12034012,2012-06-01,103a
258,"09/993,108",6756938,12034012,2012-08-01,103a
259,"09/993,108",6756938,12034012,2012-08-01,103a
260,"09/993,108",6756938,12034012,2012-08-01,103a
261,"09/655,996",6671852,12852368,2012-12-19,103a
262,"09/655,996",6671852,12852397,2012-10-09,103a
263,"10/431,740",6822611,12738764,2012-12-26,102b
264,"90/010,282",5958006,09782412,2011-03-16,103a
265,"90/010,282",5958006,09782412,2011-03-16,103a
266,"90/010,282",5958006,09782412,2011-03-16,103a
267,"90/010,282",5958006,09782107,2011-10-31,103a
268,"90/010,282",5958006,09782107,2011-10-31,103a
269,"90/010,282",5958006,09782107,2011-03-17,103a
270,"90/010,282",5958006,11925770,2011-02-23,102e
271,"90/010,282",5958006,13043903,2011-11-23,103a
272,"90/010,282",5958006,13043903,2011-11-23,103a
273,"90/010,282",5958006,13043903,2011-11-23,103a
274,"90/010,282",5958006,13020322,2011-04-05,102b
275,"90/010,282",5958006,09782412,2011-08-24,103a
276,"90/010,282",5958006,09782412,2011-08-24,103a
277,"90/010,282",5958006,09782412,2011-08-24,103a
278,"90/010,282",5958006,09782412,2011-08-24,103a
279,"90/010,282",5958006,09782412,2011-08-24,103a
280,"90/010,282",5958006,09782412,2011-08-24,103a
281,"90/010,282",5958006,13043903,2012-04-02,103a
282,"90/010,282",5958006,13043903,2012-04-02,103a
283,"90/010,282",5958006,13043903,2012-04-02,103a
284,"90/010,282",5958006,13043903,2012-04-02,103a
285,"90/010,282",5958006,13359586,2012-06-20,103a
286,"90/010,282",5958006,13359586,2012-06-20,103a
287,"90/010,282",5958006,13359586,2012-06-20,103a
288,"90/010,282",5958006,13359586,2012-06-20,103a
289,"90/010,282",5958006,13346759,2012-04-13,102b
290,"90/010,282",5958006,13359586,2012-10-23,103a
291,"90/010,282",5958006,13359586,2012-10-23,103a
292,"90/010,282",5958006,13359586,2012-10-23,103a
293,"90/010,282",5958006,13359586,2012-10-23,103a
294,"90/010,282",5958006,13346759,2012-06-22,102b
295,"90/010,282",5958006,13359586,2013-06-13,103a
296,"90/010,282",5958006,13359586,2013-06-13,103a
297,"90/010,282",5958006,13359586,2013-06-13,103a
298,"90/010,282",5958006,13359586,2013-06-13,103a
299,"08/574,541",5958006,09782412,2011-03-16,103a
300,"08/574,541",5958006,09782412,2011-03-16,103a
301,"08/574,541",5958006,09782412,2011-03-16,103a
302,"08/574,541",5958006,09782107,2011-10-31,103a
303,"08/574,541",5958006,09782107,2011-10-31,103a
304,"08/574,541",5958006,09782107,2011-03-17,103a
305,"08/574,541",5958006,11925770,2011-02-23,102e
306,"08/574,541",5958006,13043903,2011-11-23,103a
307,"08/574,541",5958006,13043903,2011-11-23,103a
308,"08/574,541",5958006,13043903,2011-11-23,103a
309,"08/574,541",5958006,13020322,2011-04-05,102b
310,"08/574,541",5958006,09782412,2011-08-24,103a
311,"08/574,541",5958006,09782412,2011-08-24,103a
312,"08/574,541",5958006,09782412,2011-08-24,103a
313,"08/574,541",5958006,09782412,2011-08-24,103a
314,"08/574,541",5958006,09782412,2011-08-24,103a
315,"08/574,541",5958006,09782412,2011-08-24,103a
316,"08/574,541",5958006,13043903,2012-04-02,103a
317,"08/574,541",5958006,13043903,2012-04-02,103a
318,"08/574,541",5958006,13043903,2012-04-02,103a
319,"08/574,541",5958006,13043903,2012-04-02,103a
320,"08/574,541",5958006,13359586,2012-06-20,103a
321,"08/574,541",5958006,13359586,2012-06-20,103a
322,"08/574,541",5958006,13359586,2012-06-20,103a
323,"08/574,541",5958006,13359586,2012-06-20,103a
324,"08/574,541",5958006,13346759,2012-04-13,102b
325,"08/574,541",5958006,13359586,2012-10-23,103a
326,"08/574,541",5958006,13359586,2012-10-23,103a
327,"08/574,541",5958006,13359586,2012-10-23,103a
328,"08/574,541",5958006,13359586,2012-10-23,103a
329,"08/574,541",5958006,13346759,2012-06-22,102b
330,"08/574,541",5958006,13359586,2013-06-13,103a
331,"08/574,541",5958006,13359586,2013-06-13,103a
332,"08/574,541",5958006,13359586,2013-06-13,103a
333,"08/574,541",5958006,13359586,2013-06-13,103a
334,"09/727,730",6617075,11338709,2011-10-06,103a
335,"10/928,235",7138979,11825993,2011-07-18,103a
336,"10/928,235",7138979,11825993,2011-07-18,103a
337,"10/928,235",7138979,11825993,2011-07-18,103a
338,"09/648,776",6564047,12163631,2011-04-04,103a
339,"09/648,776",6564047,11686342,2011-05-24,103a
340,"10/427,120",7013143,11118063,2011-07-15,103a
341,"10/427,120",7013143,11118063,2011-07-15,103a
342,"10/427,120",7013143,11118063,2011-02-03,103a
343,"10/427,120",7013143,11118063,2011-02-03,103a
344,"10/427,120",7013143,10941266,2011-01-05,103a
345,"10/427,120",7013143,11176579,2011-08-22,103
346,"10/427,120",7013143,11176579,2011-03-03,103a
347,"10/427,120",7013143,10941266,2011-06-16,103a
348,"10/427,120",7013143,13527279,2012-11-21,103a
349,"09/089,035",5987021,11870181,2011-01-04,103a
350,"09/638,944",6532593,11250086,2011-03-03,103a
351,"09/638,944",6532593,11898996,2011-12-05,103
352,"09/638,944",6532593,11250086,2011-06-27,103a
353,"09/638,944",6532593,11060224,2011-03-15,103a
354,"09/638,944",6532593,12951536,2012-12-07,119a
355,"09/638,944",6532593,12850121,2012-09-17,103a
356,"11/119,852",8018893,12951149,2012-09-12,102e
357,"11/119,852",8018893,12951149,2012-09-12,103a
358,"11/119,852",8018893,13003618,2012-12-21,102
359,"11/119,852",8018893,12739713,2012-08-24,103a
360,"11/119,852",8018893,12429340,2013-07-11,103a
361,"09/001,625",6138042,12183156,2011-12-22,103
362,"09/001,625",6138042,12183156,2011-12-22,103a
363,"09/001,625",6138042,12183156,2011-05-20,103a
364,"11/674,998",7778653,13162318,2012-01-12,102e
365,"08/625,499",6219840,10881979,2011-06-21,103a
366,"09/728,144",6484033,11930362,2011-01-03,103a
367,"09/728,144",6484033,12142207,2011-03-02,103a
368,"09/728,144",6484033,12142207,2011-08-19,103a
369,"10/372,919",7209717,12477862,2011-08-25,103a
370,"10/372,919",7209717,12477862,2011-12-29,103a
371,"12/207,773",7944484,12381422,2011-09-22,103a
372,"12/207,773",7944484,12322822,2012-02-03,103a
373,"09/549,004",6882709,11853591,2011-12-15,103a
374,"09/549,004",6882709,10974497,2011-09-13,103a
375,"09/549,004",6882709,11698372,2011-05-16,103a
376,"09/549,004",6882709,11698372,2011-05-16,103a
377,"09/549,004",6882709,11698372,2011-05-16,103a
378,"09/549,004",6882709,11698372,2011-05-16,103a
379,"09/549,004",6882709,11698372,2011-05-16,103a
380,"09/549,004",6882709,11586482,2011-03-02,103a
381,"09/549,004",6882709,11586482,2011-03-02,103a
382,"09/549,004",6882709,11780760,2011-04-14,103a
383,"09/549,004",6882709,11853591,2011-06-20,103a
384,"09/549,004",6882709,11780788,2011-07-18,103a
385,"09/549,004",6882709,11853591,2011-02-10,103a
386,"09/549,004",6882709,11651092,2011-08-29,103a
387,"09/549,004",6882709,11780748,2011-09-13,103a
388,"09/549,004",6882709,11780748,2011-04-13,103a
389,"09/549,004",6882709,10974497,2011-04-25,103a
390,"09/549,004",6882709,12844165,2012-10-12,119
391,"09/549,004",6882709,12844165,2012-10-12,103a
392,"09/549,004",6882709,12844165,2012-10-12,103a
393,"09/549,004",6882709,12844165,2012-10-12,103a
394,"09/549,004",6882709,12844165,2012-05-09,103a
395,"09/549,004",6882709,12844165,2012-05-09,103a
396,"09/549,004",6882709,12844165,2012-05-09,103a
397,"09/549,004",6882709,12844165,2012-05-09,103a
398,"09/549,004",6882709,12844165,2012-05-09,103a
399,"09/549,004",6882709,12844165,2012-05-09,103a
400,"09/549,004",6882709,11651092,2012-03-13,103a
401,"09/549,004",6882709,12844165,2012-07-31,119
402,"09/549,004",6882709,12844165,2012-07-31,103a
403,"09/549,004",6882709,12844165,2012-07-31,103a
404,"09/549,004",6882709,12844165,2012-07-31,103a
405,"09/549,004",6882709,12844165,2012-07-31,103a
406,"09/549,004",6882709,12844165,2012-07-31,103a
407,"09/549,004",6882709,12844165,2012-07-31,103a
408,"09/549,004",6882709,12190406,2012-05-10,103a
409,"09/549,004",6882709,12190406,2012-05-10,103a
410,"09/549,004",6882709,12190406,2012-05-10,103a
411,"09/549,004",6882709,12190406,2012-05-10,103a
412,"09/549,004",6882709,12190406,2012-05-10,103a
413,"09/549,004",6882709,12190406,2012-05-10,103a
414,"09/549,004",6882709,12190406,2012-05-10,103a
415,"09/549,004",6882709,12830585,2012-11-19,103a
416,"09/549,004",6882709,12830585,2012-11-19,103a
417,"09/549,004",6882709,12830585,2012-11-19,103a
418,"09/549,004",6882709,12844165,2013-01-15,102b
419,"09/549,004",6882709,12844165,2013-01-15,103a
420,"09/549,004",6882709,12844165,2013-01-15,103a
421,"09/549,004",6882709,12844165,2013-01-15,103a
422,"09/549,004",6882709,12830585,2013-03-11,103a
423,"09/549,004",6882709,12830585,2013-03-11,103a
424,"09/549,004",6882709,12830585,2013-03-11,103a
425,"09/512,140",6307846,11050357,2011-07-13,102b
426,"09/512,140",6307846,11856788,2011-01-05,103a
427,"09/512,140",6307846,11765994,2011-03-25,103a
428,"09/512,140",6307846,11765994,2011-03-25,103a
429,"09/512,140",6307846,12197428,2011-08-24,103a
430,"09/512,140",6307846,11050357,2011-01-20,102b
431,"09/512,140",6307846,11681156,2011-12-28,103a
432,"09/512,140",6307846,11050357,2012-04-12,102b
433,"09/512,140",6307846,11050357,2012-04-12,103a
434,"09/512,140",6307846,13051659,2012-11-13,103a
435,"09/512,140",6307846,11681156,2012-06-21,103a
436,"09/512,140",6307846,13051659,2012-05-24,103a
437,"09/512,140",6307846,11050357,2012-10-25,119
438,"09/512,140",6307846,11050357,2012-10-25,102b
439,"09/512,140",6307846,11050357,2012-10-25,103a
440,"08/572,837",5656917,13357137,2013-05-09,112
441,"10/383,599",6876543,12360750,2011-06-28,103a
442,"10/383,599",6876543,12360750,2011-06-28,103a
443,"08/944,118",5991447,12087488,2011-10-06,103a
444,"08/944,118",5991447,10588404,2011-05-24,103a
445,"08/944,118",5991447,10588404,2011-09-13,103a
446,"10/002,047",7042879,12030284,2011-04-19,103
447,"09/494,444",6968158,11957595,2011-03-23,103a
448,"10/195,858",7108914,12044654,2011-07-11,103a
449,"10/195,858",7108914,12595905,2011-05-18,103a
450,"08/904,990",6044158,11459193,2011-02-18,103
451,"08/941,383",6223035,12159377,2011-06-23,103a
452,"10/606,423",7567239,12061368,2011-02-03,102e
453,"10/172,035",6791995,11586383,2011-04-28,103
454,"10/172,035",6791995,11586383,2011-04-28,103
455,"10/172,035",6791995,12499450,2011-04-04,103a
456,"10/131,414",7020198,11959937,2011-08-18,103a
457,"08/572,413",5661635,13304554,2012-05-30,103a
458,"08/572,413",5661635,13304554,2012-05-30,103
459,"08/581,010",5966671,11519049,2011-03-17,103a
460,"09/495,162",6321073,11131147,2011-01-20,103a
461,"09/495,162",6321073,11862330,2011-06-20,103a
462,"09/495,162",6321073,11862330,2011-01-28,103a
463,"09/495,162",6321073,11131147,2011-05-26,103a
464,"09/495,162",6321073,11131147,2011-05-26,103a
465,"09/495,162",6321073,11376502,2011-09-30,103a
466,"09/495,162",6321073,11376502,2011-09-30,103a
467,"09/495,162",6321073,11131147,2011-10-18,103a
468,"09/495,162",6321073,11131147,2011-10-18,103a
469,"09/495,162",6321073,11376502,2012-05-02,103a
470,"09/495,162",6321073,11376502,2012-05-02,103a
471,"09/495,162",6321073,11376502,2012-05-02,103a
472,"09/495,162",6321073,11376502,2012-10-22,103a
473,"09/495,162",6321073,11376502,2012-10-22,103a
474,"09/495,162",6321073,11373612,2012-06-22,119
475,"09/495,162",6321073,11862330,2012-04-11,103a
476,"10/314,650",7095403,12391564,2012-05-02,103a
477,"09/818,767",6901122,13001194,2012-05-14,103
478,"09/818,767",6901122,13001598,2012-05-22,103
479,"09/818,767",6901122,13001269,2012-05-11,103
480,"08/609,257",5781547,11929580,2011-04-26,102b
481,"08/609,257",5781547,11929580,2011-04-26,103a
482,"08/609,257",5781547,11929580,2011-04-26,103a
483,"11/531,122",7461106,12196414,2011-10-05,119
484,"11/531,122",7461106,12047632,2011-10-18,119
485,"11/531,122",7461106,12047632,2011-10-18,119
486,"11/531,122",7461106,12047632,2011-03-02,112
487,"11/531,122",7461106,12047632,2011-03-02,112
488,"11/531,122",7461106,12047632,2011-03-02,112
489,"10/035,039",7126996,12346387,2011-03-28,103a
490,"10/035,039",7126996,12346387,2011-09-26,103a
491,"10/035,039",7126996,11963265,2011-10-11,102b
492,"10/035,039",7126996,11963265,2011-10-11,103a
493,"10/035,039",7126996,12167450,2011-05-11,103a
494,"10/035,039",7126996,12167450,2011-05-11,103a
495,"10/035,039",7126996,12167450,2011-05-11,103a
496,"10/035,039",7126996,12167450,2011-10-07,119
497,"10/035,039",7126996,12167450,2011-10-07,103a
498,"10/035,039",7126996,12167450,2011-10-07,103a
499,"10/035,039",7126996,13555780,2012-11-02,103a
500,"10/035,039",7126996,12167450,2012-04-18,103a
501,"10/035,039",7126996,12167450,2012-04-18,103a
502,"10/035,039",7126996,12167450,2012-04-18,103a
503,"10/035,039",7126996,13555773,2012-10-24,103a
504,"10/035,039",7126996,13555758,2012-10-25,103a
505,"10/035,039",7126996,12528419,2012-02-24,103a
506,"10/035,039",7126996,13555743,2012-10-24,103a
507,"10/035,039",7126996,13371162,2013-04-22,103a
508,"10/035,039",7126996,14175564,2014-09-03,119a
509,"09/088,786",6108046,11932978,2011-11-14,103a
510,"09/088,786",6108046,11932978,2011-11-14,103a
511,"09/088,786",6108046,11932978,2011-11-14,103a
512,"09/088,786",6108046,11646219,2011-11-17,103a
513,"09/088,786",6108046,11646219,2011-11-17,103a
514,"09/088,786",6108046,11646219,2011-07-19,103a
515,"09/088,786",6108046,11646219,2011-07-19,103a
516,"09/560,977",6658272,12856275,2011-03-22,103a
517,"09/560,977",6658272,12856275,2011-03-22,103a
518,"09/560,977",6658272,12019291,2011-09-02,103
